lambda  n   fit
4.810699999999999932e+02 2.049999999999999822e+00 0.000000000000000000e+00
4.811299999999999955e+02 1.228999999999999915e+01 0.000000000000000000e+00
4.811999999999999886e+02 -1.842999999999999972e+01 0.000000000000000000e+00
4.812699999999999818e+02 4.099999999999999645e+00 0.000000000000000000e+00
4.813399999999999750e+02 1.064899999999999949e+02 0.000000000000000000e+00
4.814100000000000250e+02 8.189999999999999503e+00 0.000000000000000000e+00
4.814700000000000273e+02 1.637999999999999901e+01 0.000000000000000000e+00
4.815400000000000205e+02 -7.781999999999999318e+01 0.000000000000000000e+00
4.816100000000000136e+02 -3.277000000000000313e+01 0.000000000000000000e+00
4.816800000000000068e+02 0.000000000000000000e+00 0.000000000000000000e+00
4.817400000000000091e+02 2.048000000000000043e+01 0.000000000000000000e+00
4.818100000000000023e+02 1.433999999999999986e+01 0.000000000000000000e+00
4.818799999999999955e+02 2.457999999999999829e+01 0.000000000000000000e+00
4.819499999999999886e+02 8.189999999999999503e+00 0.000000000000000000e+00
4.820199999999999818e+02 -2.662000000000000099e+01 0.000000000000000000e+00
4.820799999999999841e+02 -1.842999999999999972e+01 0.000000000000000000e+00
4.821499999999999773e+02 7.987000000000000455e+01 0.000000000000000000e+00
4.822200000000000273e+02 -1.167300000000000040e+02 0.000000000000000000e+00
4.822900000000000205e+02 8.189999999999999503e+00 0.000000000000000000e+00
4.823500000000000227e+02 -2.457999999999999829e+01 0.000000000000000000e+00
4.824200000000000159e+02 -3.890999999999999659e+01 0.000000000000000000e+00
4.824900000000000091e+02 -7.168000000000000682e+01 0.000000000000000000e+00
4.825600000000000023e+02 2.867000000000000171e+01 0.000000000000000000e+00
4.826299999999999955e+02 -6.139999999999999680e+00 0.000000000000000000e+00
4.826899999999999977e+02 -4.914999999999999858e+01 0.000000000000000000e+00
4.827599999999999909e+02 -4.300999999999999801e+01 0.000000000000000000e+00
4.828299999999999841e+02 -6.349000000000000199e+01 0.000000000000000000e+00
4.828999999999999773e+02 2.048000000000000043e+01 0.000000000000000000e+00
4.829599999999999795e+02 6.143999999999999773e+01 0.000000000000000000e+00
4.830299999999999727e+02 5.325000000000000000e+01 0.000000000000000000e+00
4.831000000000000227e+02 7.987000000000000455e+01 0.000000000000000000e+00
4.831700000000000159e+02 -5.939000000000000057e+01 0.000000000000000000e+00
4.832400000000000091e+02 -4.506000000000000227e+01 0.000000000000000000e+00
4.833000000000000114e+02 -4.914999999999999858e+01 0.000000000000000000e+00
4.833700000000000045e+02 5.325000000000000000e+01 0.000000000000000000e+00
4.834399999999999977e+02 6.757999999999999829e+01 0.000000000000000000e+00
4.835099999999999909e+02 -1.842999999999999972e+01 0.000000000000000000e+00
4.835699999999999932e+02 -2.662000000000000099e+01 0.000000000000000000e+00
4.836399999999999864e+02 -8.189999999999999503e+00 0.000000000000000000e+00
4.837099999999999795e+02 6.349000000000000199e+01 0.000000000000000000e+00
4.837799999999999727e+02 -2.457999999999999829e+01 0.000000000000000000e+00
4.838399999999999750e+02 -2.253000000000000114e+01 0.000000000000000000e+00
4.839100000000000250e+02 -2.048000000000000043e+01 0.000000000000000000e+00
4.839800000000000182e+02 -1.433999999999999986e+01 0.000000000000000000e+00
4.840500000000000114e+02 8.396999999999999886e+01 0.000000000000000000e+00
4.841100000000000136e+02 -6.139999999999999680e+00 0.000000000000000000e+00
4.841800000000000068e+02 1.637999999999999901e+01 0.000000000000000000e+00
4.842500000000000000e+02 2.867000000000000171e+01 0.000000000000000000e+00
4.843199999999999932e+02 -6.349000000000000199e+01 0.000000000000000000e+00
4.843799999999999955e+02 9.010999999999999943e+01 0.000000000000000000e+00
4.844499999999999886e+02 6.139999999999999680e+00 0.000000000000000000e+00
4.845199999999999818e+02 -3.277000000000000313e+01 0.000000000000000000e+00
4.845899999999999750e+02 2.662000000000000099e+01 0.000000000000000000e+00
4.846499999999999773e+02 -5.939000000000000057e+01 0.000000000000000000e+00
4.847200000000000273e+02 1.024000000000000021e+01 0.000000000000000000e+00
4.847900000000000205e+02 1.433999999999999986e+01 0.000000000000000000e+00
4.848600000000000136e+02 6.757999999999999829e+01 0.000000000000000000e+00
4.849200000000000159e+02 -9.829999999999999716e+01 0.000000000000000000e+00
4.849900000000000091e+02 -3.071999999999999886e+01 0.000000000000000000e+00
4.850600000000000023e+02 2.867000000000000171e+01 0.000000000000000000e+00
4.851299999999999955e+02 -3.685999999999999943e+01 0.000000000000000000e+00
4.851899999999999977e+02 7.987000000000000455e+01 0.000000000000000000e+00
4.852599999999999909e+02 -4.099999999999999645e+00 0.000000000000000000e+00
4.853299999999999841e+02 6.554000000000000625e+01 0.000000000000000000e+00
4.853999999999999773e+02 1.126400000000000006e+02 0.000000000000000000e+00
4.854599999999999795e+02 -3.071999999999999886e+01 0.000000000000000000e+00
4.855299999999999727e+02 6.757999999999999829e+01 0.000000000000000000e+00
4.856000000000000227e+02 -3.482000000000000028e+01 0.000000000000000000e+00
4.856700000000000159e+02 -4.096000000000000085e+01 0.000000000000000000e+00
4.857300000000000182e+02 -6.962999999999999545e+01 0.000000000000000000e+00
4.858000000000000114e+02 2.867000000000000171e+01 0.000000000000000000e+00
4.858700000000000045e+02 -6.139999999999999680e+00 0.000000000000000000e+00
4.859399999999999977e+02 2.049999999999999822e+00 0.000000000000000000e+00
4.860000000000000000e+02 -4.096000000000000085e+01 0.000000000000000000e+00
4.860699999999999932e+02 -6.349000000000000199e+01 0.000000000000000000e+00
4.861399999999999864e+02 1.228999999999999915e+01 0.000000000000000000e+00
4.861999999999999886e+02 2.049999999999999822e+00 0.000000000000000000e+00
4.862699999999999818e+02 -4.914999999999999858e+01 0.000000000000000000e+00
4.863399999999999750e+02 1.454099999999999966e+02 0.000000000000000000e+00
4.864100000000000250e+02 5.325000000000000000e+01 0.000000000000000000e+00
4.864700000000000273e+02 4.914999999999999858e+01 0.000000000000000000e+00
4.865400000000000205e+02 2.457999999999999829e+01 0.000000000000000000e+00
4.866100000000000136e+02 6.349000000000000199e+01 0.000000000000000000e+00
4.866800000000000068e+02 4.099999999999999645e+00 0.000000000000000000e+00
4.867400000000000091e+02 -3.890999999999999659e+01 0.000000000000000000e+00
4.868100000000000023e+02 -1.024000000000000021e+01 0.000000000000000000e+00
4.868799999999999955e+02 -8.189999999999999503e+00 0.000000000000000000e+00
4.869399999999999977e+02 0.000000000000000000e+00 0.000000000000000000e+00
4.870099999999999909e+02 2.048000000000000043e+01 0.000000000000000000e+00
4.870799999999999841e+02 4.914999999999999858e+01 0.000000000000000000e+00
4.871499999999999773e+02 -1.433999999999999986e+01 0.000000000000000000e+00
4.872099999999999795e+02 -1.024000000000000057e+02 0.000000000000000000e+00
4.872799999999999727e+02 4.099999999999999645e+00 0.000000000000000000e+00
4.873500000000000227e+02 2.253000000000000114e+01 0.000000000000000000e+00
4.874100000000000250e+02 1.228999999999999915e+01 0.000000000000000000e+00
4.874800000000000182e+02 -4.914999999999999858e+01 0.000000000000000000e+00
4.875500000000000114e+02 1.433999999999999986e+01 0.000000000000000000e+00
4.876200000000000045e+02 0.000000000000000000e+00 0.000000000000000000e+00
4.876800000000000068e+02 -8.601000000000000512e+01 0.000000000000000000e+00
4.877500000000000000e+02 -1.433999999999999986e+01 0.000000000000000000e+00
4.878199999999999932e+02 -7.576999999999999602e+01 0.000000000000000000e+00
4.878799999999999955e+02 1.044500000000000028e+02 0.000000000000000000e+00
4.879499999999999886e+02 -4.096000000000000085e+01 0.000000000000000000e+00
4.880199999999999818e+02 -1.637999999999999901e+01 0.000000000000000000e+00
4.880899999999999750e+02 -8.396999999999999886e+01 0.000000000000000000e+00
4.881499999999999773e+02 -4.099999999999999645e+00 0.000000000000000000e+00
4.882200000000000273e+02 8.192000000000000171e+01 0.000000000000000000e+00
4.882900000000000205e+02 8.189999999999999503e+00 0.000000000000000000e+00
4.883500000000000227e+02 -4.096000000000000085e+01 0.000000000000000000e+00
4.884200000000000159e+02 3.071999999999999886e+01 0.000000000000000000e+00
4.884900000000000091e+02 3.890999999999999659e+01 0.000000000000000000e+00
4.885600000000000023e+02 -6.139999999999999680e+00 0.000000000000000000e+00
4.886200000000000045e+02 6.139999999999999680e+00 0.000000000000000000e+00
4.886899999999999977e+02 4.914999999999999858e+01 0.000000000000000000e+00
4.887599999999999909e+02 -6.349000000000000199e+01 0.000000000000000000e+00
4.888199999999999932e+02 -7.168000000000000682e+01 0.000000000000000000e+00
4.888899999999999864e+02 -9.829999999999999716e+01 0.000000000000000000e+00
4.889599999999999795e+02 -3.685999999999999943e+01 0.000000000000000000e+00
4.890199999999999818e+02 1.024000000000000021e+01 0.000000000000000000e+00
4.890899999999999750e+02 -1.842999999999999972e+01 0.000000000000000000e+00
4.891600000000000250e+02 2.662000000000000099e+01 0.000000000000000000e+00
4.892200000000000273e+02 8.192000000000000171e+01 0.000000000000000000e+00
4.892900000000000205e+02 2.253000000000000114e+01 0.000000000000000000e+00
4.893600000000000136e+02 -4.099999999999999645e+00 0.000000000000000000e+00
4.894300000000000068e+02 9.829999999999999716e+01 0.000000000000000000e+00
4.894900000000000091e+02 -1.637999999999999901e+01 0.000000000000000000e+00
4.895600000000000023e+02 5.734000000000000341e+01 0.000000000000000000e+00
4.896299999999999955e+02 8.192000000000000171e+01 0.000000000000000000e+00
4.896899999999999977e+02 -3.277000000000000313e+01 0.000000000000000000e+00
4.897599999999999909e+02 3.071999999999999886e+01 0.000000000000000000e+00
4.898299999999999841e+02 -4.099999999999999645e+00 0.000000000000000000e+00
4.898899999999999864e+02 -2.867000000000000171e+01 0.000000000000000000e+00
4.899599999999999795e+02 -7.987000000000000455e+01 0.000000000000000000e+00
4.900299999999999727e+02 1.842999999999999972e+01 0.000000000000000000e+00
4.900899999999999750e+02 -4.300999999999999801e+01 0.000000000000000000e+00
4.901600000000000250e+02 -4.710000000000000142e+01 0.000000000000000000e+00
4.902300000000000182e+02 1.228999999999999915e+01 0.000000000000000000e+00
4.902900000000000205e+02 2.048000000000000043e+01 0.000000000000000000e+00
4.903600000000000136e+02 -5.325000000000000000e+01 0.000000000000000000e+00
4.904300000000000068e+02 1.331200000000000045e+02 0.000000000000000000e+00
4.905000000000000000e+02 -3.685999999999999943e+01 0.000000000000000000e+00
4.905600000000000023e+02 4.099999999999999645e+00 0.000000000000000000e+00
4.906299999999999955e+02 -3.685999999999999943e+01 0.000000000000000000e+00
4.906999999999999886e+02 1.433999999999999986e+01 0.000000000000000000e+00
4.907599999999999909e+02 -2.253000000000000114e+01 0.000000000000000000e+00
4.908299999999999841e+02 1.228999999999999915e+01 0.000000000000000000e+00
4.908999999999999773e+02 -8.601000000000000512e+01 0.000000000000000000e+00
4.909599999999999795e+02 5.529999999999999716e+01 0.000000000000000000e+00
4.910299999999999727e+02 -1.024000000000000021e+01 0.000000000000000000e+00
4.911000000000000227e+02 2.049999999999999822e+00 0.000000000000000000e+00
4.911600000000000250e+02 4.096000000000000085e+01 0.000000000000000000e+00
4.912300000000000182e+02 9.010999999999999943e+01 0.000000000000000000e+00
4.913000000000000114e+02 1.228799999999999955e+02 0.000000000000000000e+00
4.913600000000000136e+02 4.914999999999999858e+01 0.000000000000000000e+00
4.914300000000000068e+02 5.120000000000000284e+01 0.000000000000000000e+00
4.915000000000000000e+02 6.962999999999999545e+01 0.000000000000000000e+00
4.915600000000000023e+02 1.044500000000000028e+02 0.000000000000000000e+00
4.916299999999999955e+02 5.120000000000000284e+01 0.000000000000000000e+00
4.916999999999999886e+02 0.000000000000000000e+00 0.000000000000000000e+00
4.917599999999999909e+02 5.325000000000000000e+01 0.000000000000000000e+00
4.918299999999999841e+02 1.699799999999999898e+02 0.000000000000000000e+00
4.918999999999999773e+02 6.757999999999999829e+01 0.000000000000000000e+00
4.919599999999999795e+02 9.625000000000000000e+01 0.000000000000000000e+00
