t   ch1 fitch1  ch2 fitch2  ch3
6.040000000000012026e-01 4.799999999999999822e+00 3.834031497472692340e+00 0.000000000000000000e+00 4.468503402177467042e-99 2.719999999999999929e+01
6.140000000000008784e-01 3.600000000000000089e+00 3.834031497472692340e+00 4.000000000000000222e-01 4.448369718436486688e-118 2.639999999999999858e+01
6.240000000000013314e-01 4.799999999999999822e+00 3.834031497472692340e+00 0.000000000000000000e+00 9.571095487961705060e-139 2.719999999999999929e+01
6.340000000000008962e-01 3.600000000000000089e+00 3.834031497472692340e+00 4.000000000000000222e-01 4.450864910394899873e-161 2.639999999999999858e+01
6.440000000000013491e-01 3.600000000000000089e+00 3.834031497472692340e+00 0.000000000000000000e+00 4.473517778917772287e-185 2.719999999999999929e+01
6.540000000000009139e-01 4.799999999999999822e+00 3.834031497472692340e+00 4.000000000000000222e-01 9.718518753073437149e-211 2.639999999999999858e+01
6.640000000000004787e-01 3.600000000000000089e+00 3.834031497472692340e+00 0.000000000000000000e+00 5.945281261952429936e-192 2.719999999999999929e+01
6.740000000000010427e-01 4.799999999999999822e+00 3.834031497472692340e+00 4.000000000000000222e-01 3.246208904701505525e-170 2.639999999999999858e+01
6.840000000000006075e-01 4.799999999999999822e+00 3.834031497472692340e+00 0.000000000000000000e+00 8.802111493101549600e-150 2.719999999999999929e+01
6.940000000000010605e-01 3.600000000000000089e+00 3.834031497472692340e+00 4.000000000000000222e-01 1.185232650932539495e-130 2.639999999999999858e+01
7.040000000000006253e-01 3.600000000000000089e+00 3.834031497472692340e+00 0.000000000000000000e+00 7.925500354037487232e-113 2.639999999999999858e+01
7.140000000000010782e-01 4.799999999999999822e+00 3.834031497472692340e+00 4.000000000000000222e-01 2.631819579396689637e-96 2.880000000000000071e+01
7.240000000000006430e-01 4.799999999999999822e+00 3.834031497472692340e+00 0.000000000000000000e+00 4.340021474647847975e-81 2.719999999999999929e+01
7.340000000000010960e-01 3.600000000000000089e+00 3.834031497472692340e+00 4.000000000000000222e-01 3.554135527184008282e-67 2.880000000000000071e+01
7.440000000000007718e-01 4.799999999999999822e+00 3.834031497472692340e+00 0.000000000000000000e+00 1.445381299508659150e-54 2.639999999999999858e+01
7.540000000000012248e-01 3.600000000000000089e+00 3.834031497472692340e+00 4.000000000000000222e-01 2.919021001457417151e-43 2.880000000000000071e+01
7.640000000000007896e-01 3.600000000000000089e+00 3.834031497472692340e+00 0.000000000000000000e+00 2.927509741118275247e-33 2.800000000000000000e+01
7.740000000000012426e-01 4.799999999999999822e+00 3.834031497472692340e+00 4.000000000000000222e-01 1.458027848513283336e-24 2.880000000000000071e+01
7.840000000000008074e-01 3.600000000000000089e+00 3.834031497472692340e+00 4.000000000000000222e-01 3.606115482801973995e-17 2.800000000000000000e+01
7.940000000000012603e-01 4.799999999999999822e+00 3.834031497472692340e+00 0.000000000000000000e+00 4.429143823801925610e-11 2.880000000000000071e+01
8.040000000000009361e-01 3.600000000000000089e+00 3.834031497472692340e+00 2.000000000000000111e-01 2.701508115540667264e-06 2.800000000000000000e+01
8.140000000000013891e-01 5.200000000000000178e+00 3.834031497472692340e+00 1.199999999999999956e+00 8.182746766350602191e-03 2.880000000000000071e+01
8.240000000000009539e-01 4.799999999999999822e+00 3.834031497472692340e+00 1.199999999999999956e+00 1.230830605793798771e+00 2.800000000000000000e+01
8.340000000000005187e-01 3.600000000000000089e+00 3.834031497472692340e+00 9.199999999999999289e+00 9.193985270665454124e+00 2.880000000000000071e+01
8.440000000000009717e-01 4.799999999999999822e+00 3.834031497472692340e+00 3.399999999999999911e+00 3.410481212987954258e+00 2.800000000000000000e+01
8.540000000000005365e-01 3.600000000000000089e+00 3.834031497472692340e+00 2.000000000000000111e-01 6.282519720029147714e-02 2.880000000000000071e+01
8.640000000000011005e-01 3.600000000000000089e+00 3.834031497472692340e+00 4.000000000000000222e-01 5.747227655764242267e-05 2.800000000000000000e+01
8.740000000000006652e-01 4.799999999999999822e+00 3.834031497472692340e+00 0.000000000000000000e+00 2.610894248831873300e-09 2.880000000000000071e+01
8.840000000000011182e-01 4.799999999999999822e+00 3.834031497472692340e+00 4.000000000000000222e-01 5.890152020936127928e-15 2.800000000000000000e+01
8.940000000000006830e-01 3.600000000000000089e+00 3.834031497472692340e+00 0.000000000000000000e+00 6.598877511518110592e-22 2.880000000000000071e+01
9.040000000000011360e-01 4.799999999999999822e+00 3.834031497472692340e+00 4.000000000000000222e-01 3.671300820914636945e-30 2.800000000000000000e+01
9.140000000000007008e-01 3.600000000000000089e+00 3.834031497472692340e+00 0.000000000000000000e+00 1.014322868071981717e-39 2.880000000000000071e+01
9.240000000000012648e-01 4.799999999999999822e+00 3.834031497472692340e+00 4.000000000000000222e-01 1.391678132951622500e-50 2.880000000000000071e+01
9.340000000000008296e-01 3.600000000000000089e+00 3.834031497472692340e+00 0.000000000000000000e+00 9.482169862109749993e-63 2.800000000000000000e+01
9.440000000000012825e-01 3.600000000000000089e+00 3.834031497472692340e+00 0.000000000000000000e+00 3.208359308829490182e-76 2.800000000000000000e+01
9.540000000000008473e-01 5.200000000000000178e+00 3.834031497472692340e+00 4.000000000000000222e-01 5.390941379196308135e-91 2.880000000000000071e+01
9.640000000000013003e-01 3.600000000000000089e+00 3.834031497472692340e+00 0.000000000000000000e+00 4.498342924855200167e-107 2.880000000000000071e+01
9.740000000000008651e-01 4.799999999999999822e+00 3.834031497472692340e+00 4.000000000000000222e-01 1.864004052044857827e-124 2.800000000000000000e+01
9.840000000000013181e-01 4.799999999999999822e+00 3.834031497472692340e+00 0.000000000000000000e+00 3.835725193999343897e-143 2.880000000000000071e+01
9.940000000000009939e-01 3.600000000000000089e+00 3.834031497472692340e+00 4.000000000000000222e-01 3.919714713725916504e-163 2.800000000000000000e+01
1.004000000000000448e+00 3.600000000000000089e+00 3.834031497472692340e+00 0.000000000000000000e+00 1.989151100232304821e-184 2.880000000000000071e+01
1.014000000000001123e+00 5.200000000000000178e+00 3.834031497472692340e+00 4.000000000000000222e-01 5.012881409479012204e-207 2.800000000000000000e+01
1.024000000000000687e+00 4.799999999999999822e+00 3.834031497472692340e+00 0.000000000000000000e+00 6.273550927715572674e-231 2.800000000000000000e+01
1.034000000000001140e+00 3.600000000000000089e+00 3.834031497472692340e+00 4.000000000000000222e-01 3.898932946311184322e-256 2.960000000000000142e+01
1.044000000000000705e+00 4.799999999999999822e+00 3.834031497472692340e+00 4.000000000000000222e-01 1.203329173198881586e-282 2.800000000000000000e+01
1.054000000000001158e+00 3.600000000000000089e+00 3.834031497472692340e+00 0.000000000000000000e+00 1.134981826530331872e-271 2.960000000000000142e+01
1.064000000000000723e+00 5.200000000000000178e+00 3.834031497472692340e+00 0.000000000000000000e+00 9.206635697613661763e-246 2.960000000000000142e+01
1.074000000000001176e+00 3.600000000000000089e+00 3.834031497472692340e+00 4.000000000000000222e-01 3.781376567451324418e-221 2.800000000000000000e+01
1.084000000000000741e+00 3.600000000000000089e+00 3.834031497472692340e+00 0.000000000000000000e+00 7.863860802947087062e-198 2.880000000000000071e+01
1.094000000000001194e+00 5.200000000000000178e+00 3.834031497472692340e+00 4.000000000000000222e-01 8.280539349789899525e-176 2.960000000000000142e+01
1.104000000000000759e+00 4.799999999999999822e+00 3.834031497472692340e+00 0.000000000000000000e+00 4.414874392966292587e-155 2.960000000000000142e+01
1.114000000000001211e+00 4.000000000000000000e+00 3.834031497472692340e+00 4.000000000000000222e-01 1.191831878893361336e-135 2.880000000000000071e+01
1.124000000000000776e+00 4.799999999999999822e+00 3.834031497472692340e+00 0.000000000000000000e+00 1.629103070484543026e-117 2.960000000000000142e+01
1.134000000000001229e+00 3.600000000000000089e+00 3.834031497472692340e+00 4.000000000000000222e-01 1.127506477837193809e-100 2.880000000000000071e+01
1.144000000000001016e+00 3.600000000000000089e+00 3.834031497472692340e+00 0.000000000000000000e+00 3.951176663185259418e-85 2.960000000000000142e+01
1.154000000000001469e+00 5.200000000000000178e+00 3.834031497472692340e+00 4.000000000000000222e-01 7.010851518989590700e-71 2.880000000000000071e+01
1.164000000000001034e+00 3.600000000000000089e+00 3.834031497472692340e+00 0.000000000000000000e+00 6.298715746821432795e-58 2.960000000000000142e+01
1.174000000000000599e+00 5.200000000000000178e+00 3.834031497472692340e+00 4.000000000000000222e-01 2.865300455121177681e-46 2.880000000000000071e+01
1.184000000000001052e+00 5.200000000000000178e+00 3.834031497472692340e+00 0.000000000000000000e+00 6.599715992594441016e-36 2.960000000000000142e+01
1.194000000000000616e+00 3.600000000000000089e+00 3.834031497472692340e+00 4.000000000000000222e-01 7.696924806091598553e-27 2.880000000000000071e+01
1.204000000000001069e+00 4.400000000000000355e+00 3.834031497472692340e+00 4.000000000000000222e-01 4.545128432890262674e-19 2.960000000000000142e+01
1.214000000000000634e+00 5.200000000000000178e+00 3.834031497472692340e+00 0.000000000000000000e+00 1.358976649343455899e-12 2.880000000000000071e+01
1.224000000000001087e+00 4.400000000000000355e+00 3.834031497472692340e+00 0.000000000000000000e+00 2.057381111144455511e-07 2.960000000000000142e+01
1.234000000000000652e+00 5.200000000000000178e+00 3.834031497472692340e+00 8.000000000000000444e-01 1.577082529986737923e-03 2.960000000000000142e+01
1.244000000000001105e+00 3.600000000000000089e+00 3.834031497472692340e+00 8.000000000000000444e-01 6.121121675329362910e-01 2.960000000000000142e+01
1.254000000000000670e+00 5.200000000000000178e+00 3.834031497472692340e+00 1.200000000000000000e+01 1.202941542058329638e+01 2.880000000000000071e+01
1.264000000000001123e+00 5.200000000000000178e+00 3.834031497472692340e+00 1.200000000000000000e+01 1.197002210327047145e+01 2.960000000000000142e+01
1.274000000000000909e+00 4.000000000000000000e+00 3.834031497472692340e+00 4.000000000000000222e-01 6.030902406550004979e-01 2.880000000000000071e+01
1.284000000000001362e+00 4.400000000000000355e+00 3.834031497472692340e+00 8.000000000000000444e-01 1.538532121593347377e-03 2.960000000000000142e+01
1.294000000000000927e+00 5.200000000000000178e+00 3.834031497472692340e+00 0.000000000000000000e+00 1.987319775093958521e-07 2.880000000000000071e+01
1.304000000000001380e+00 4.400000000000000355e+00 3.834031497472692340e+00 0.000000000000000000e+00 1.299768055700640308e-12 2.880000000000000071e+01
1.314000000000000945e+00 5.200000000000000178e+00 3.834031497472692340e+00 4.000000000000000222e-01 4.304283647567404780e-19 2.960000000000000142e+01
1.324000000000001398e+00 4.400000000000000355e+00 3.834031497472692340e+00 0.000000000000000000e+00 7.217267895522655737e-27 2.960000000000000142e+01
1.334000000000000963e+00 5.200000000000000178e+00 3.834031497472692340e+00 4.000000000000000222e-01 6.127476973173523550e-36 2.880000000000000071e+01
1.344000000000000528e+00 4.400000000000000355e+00 3.834031497472692340e+00 0.000000000000000000e+00 2.634070949329932202e-46 2.880000000000000071e+01
1.354000000000000981e+00 5.200000000000000178e+00 3.834031497472692340e+00 4.000000000000000222e-01 5.733372622172397936e-58 3.119999999999999929e+01
1.364000000000000545e+00 4.400000000000000355e+00 3.834031497472692340e+00 0.000000000000000000e+00 6.318729833225202691e-71 2.960000000000000142e+01
1.374000000000000998e+00 5.200000000000000178e+00 3.834031497472692340e+00 4.000000000000000222e-01 3.526032608808104078e-85 3.119999999999999929e+01
1.384000000000000785e+00 4.400000000000000355e+00 3.834031497472692340e+00 0.000000000000000000e+00 9.962762577156819938e-101 3.119999999999999929e+01
1.394000000000001238e+00 5.200000000000000178e+00 3.834031497472692340e+00 4.000000000000000222e-01 1.425312704031239766e-117 2.960000000000000142e+01
1.404000000000000803e+00 4.400000000000000355e+00 3.834031497472692340e+00 0.000000000000000000e+00 1.032470021206848714e-135 3.039999999999999858e+01
1.414000000000001256e+00 5.200000000000000178e+00 3.834031497472692340e+00 4.000000000000000222e-01 3.786881048487016049e-155 3.119999999999999929e+01
1.424000000000000821e+00 4.400000000000000355e+00 3.834031497472692340e+00 0.000000000000000000e+00 7.032711397885474811e-176 3.039999999999999858e+01
1.434000000000001274e+00 5.200000000000000178e+00 3.834031497472692340e+00 4.000000000000000222e-01 6.613035385927312963e-198 3.119999999999999929e+01
1.444000000000000838e+00 4.400000000000000355e+00 3.834031497472692340e+00 0.000000000000000000e+00 3.148587859300647647e-221 3.119999999999999929e+01
1.454000000000001291e+00 5.200000000000000178e+00 3.834031497472692340e+00 4.000000000000000222e-01 7.590456452474531850e-246 3.039999999999999858e+01
1.464000000000000856e+00 4.400000000000000355e+00 3.834031497472692340e+00 4.000000000000000222e-01 1.724966194146087074e-228 3.039999999999999858e+01
1.474000000000001309e+00 5.200000000000000178e+00 3.834031497472692340e+00 0.000000000000000000e+00 6.132954166513185060e-206 3.119999999999999929e+01
1.484000000000000874e+00 4.400000000000000355e+00 3.834031497472692340e+00 0.000000000000000000e+00 1.474021260948911803e-184 3.039999999999999858e+01
1.494000000000001327e+00 5.200000000000000178e+00 3.834031497472692340e+00 4.000000000000000222e-01 2.394874027959478099e-164 3.119999999999999929e+01
1.504000000000000892e+00 4.400000000000000355e+00 3.834031497472692340e+00 0.000000000000000000e+00 2.630307348929645786e-145 3.039999999999999858e+01
1.514000000000000679e+00 5.200000000000000178e+00 3.834031497472692340e+00 4.000000000000000222e-01 1.952878482891720555e-127 3.119999999999999929e+01
1.524000000000001132e+00 4.400000000000000355e+00 3.834031497472692340e+00 0.000000000000000000e+00 9.801416401314152868e-111 3.039999999999999858e+01
