t ch1 ch2 ch3
178 1.20e-03 0.00e+00 -4.64e+01
179 -4.00e-04 4.00e-04 -4.56e+01
180 -4.00e-04 0.00e+00 -4.56e+01
181 1.20e-03 4.00e-04 -4.64e+01
182 8.00e-04 0.00e+00 -4.56e+01
183 -4.00e-04 4.00e-04 -4.64e+01
184 0.00e+00 4.00e-04 -4.56e+01
185 8.00e-04 0.00e+00 -4.64e+01
186 1.20e-03 4.00e-04 -4.64e+01
187 -4.00e-04 0.00e+00 -4.40e+01
188 0.00e+00 4.00e-04 -4.64e+01
189 8.00e-04 0.00e+00 -4.40e+01
190 0.00e+00 0.00e+00 -4.48e+01
191 1.20e-03 4.00e-04 -4.40e+01
192 1.20e-03 0.00e+00 -4.48e+01
193 0.00e+00 4.00e-04 -4.40e+01
194 1.20e-03 4.00e-04 -4.48e+01
195 0.00e+00 0.00e+00 -4.40e+01
196 -4.00e-04 4.00e-04 -4.48e+01
197 1.20e-03 0.00e+00 -4.32e+01
198 8.00e-04 4.00e-04 -4.32e+01
199 -4.00e-04 0.00e+00 -4.40e+01
200 0.00e+00 0.00e+00 -4.40e+01
201 4.00e-04 4.00e-04 -4.32e+01
202 4.00e-04 0.00e+00 -4.40e+01
203 0.00e+00 4.00e-04 -4.24e+01
204 4.00e-04 0.00e+00 -4.16e+01
205 -4.00e-04 4.00e-04 -4.40e+01
206 0.00e+00 0.00e+00 -4.16e+01
207 1.20e-03 4.00e-04 -4.24e+01
208 0.00e+00 0.00e+00 -4.24e+01
209 1.20e-03 4.00e-04 -4.16e+01
210 4.00e-04 0.00e+00 -4.24e+01
211 0.00e+00 4.00e-04 -4.08e+01
212 0.00e+00 4.00e-04 -4.08e+01
213 1.20e-03 0.00e+00 -4.16e+01
214 4.00e-04 4.00e-04 -4.08e+01
215 0.00e+00 0.00e+00 -4.16e+01
216 4.00e-04 4.00e-04 -4.16e+01
217 -4.00e-04 0.00e+00 -3.92e+01
218 4.00e-04 0.00e+00 -4.00e+01
219 0.00e+00 4.00e-04 -3.92e+01
220 1.20e-03 4.00e-04 -4.00e+01
221 0.00e+00 0.00e+00 -3.92e+01
222 0.00e+00 0.00e+00 -4.00e+01
223 8.00e-04 4.00e-04 -3.84e+01
