lambda  n   fit
4.786200000000000045e+02 9.215999999999999659e+01 0.000000000000000000e+00
4.786800000000000068e+02 2.457999999999999829e+01 0.000000000000000000e+00
4.787500000000000000e+02 3.482000000000000028e+01 0.000000000000000000e+00
4.788199999999999932e+02 -4.099999999999999645e+00 0.000000000000000000e+00
4.788899999999999864e+02 2.049999999999999822e+00 0.000000000000000000e+00
4.789599999999999795e+02 7.987000000000000455e+01 0.000000000000000000e+00
4.790199999999999818e+02 1.024000000000000021e+01 0.000000000000000000e+00
4.790899999999999750e+02 -1.024000000000000021e+01 0.000000000000000000e+00
4.791600000000000250e+02 -3.482000000000000028e+01 0.000000000000000000e+00
4.792300000000000182e+02 -7.168000000000000682e+01 0.000000000000000000e+00
4.793000000000000114e+02 6.139999999999999680e+00 0.000000000000000000e+00
4.793700000000000045e+02 1.433999999999999986e+01 0.000000000000000000e+00
4.794300000000000068e+02 2.457999999999999829e+01 0.000000000000000000e+00
4.795000000000000000e+02 -2.662000000000000099e+01 0.000000000000000000e+00
4.795699999999999932e+02 4.914999999999999858e+01 0.000000000000000000e+00
4.796399999999999864e+02 4.710000000000000142e+01 0.000000000000000000e+00
4.797099999999999795e+02 3.482000000000000028e+01 0.000000000000000000e+00
4.797699999999999818e+02 1.842999999999999972e+01 0.000000000000000000e+00
4.798399999999999750e+02 -4.096000000000000085e+01 0.000000000000000000e+00
4.799100000000000250e+02 -6.139999999999999680e+00 0.000000000000000000e+00
4.799800000000000182e+02 -1.433999999999999986e+01 0.000000000000000000e+00
4.800500000000000114e+02 4.096000000000000085e+01 0.000000000000000000e+00
4.801100000000000136e+02 1.637999999999999901e+01 0.000000000000000000e+00
4.801800000000000068e+02 4.096000000000000085e+01 0.000000000000000000e+00
4.802500000000000000e+02 7.373000000000000398e+01 0.000000000000000000e+00
4.803199999999999932e+02 8.396999999999999886e+01 0.000000000000000000e+00
4.803899999999999864e+02 7.781999999999999318e+01 0.000000000000000000e+00
4.804499999999999886e+02 -3.277000000000000313e+01 0.000000000000000000e+00
4.805199999999999818e+02 -6.139999999999999680e+00 0.000000000000000000e+00
4.805899999999999750e+02 5.734000000000000341e+01 0.000000000000000000e+00
4.806600000000000250e+02 5.325000000000000000e+01 0.000000000000000000e+00
4.807300000000000182e+02 -4.506000000000000227e+01 0.000000000000000000e+00
4.807900000000000205e+02 1.024000000000000021e+01 0.000000000000000000e+00
4.808600000000000136e+02 1.637999999999999901e+01 0.000000000000000000e+00
4.809300000000000068e+02 -1.228999999999999915e+01 0.000000000000000000e+00
4.810000000000000000e+02 -1.433999999999999986e+01 0.000000000000000000e+00
4.810699999999999932e+02 5.734000000000000341e+01 0.000000000000000000e+00
4.811299999999999955e+02 7.987000000000000455e+01 0.000000000000000000e+00
4.811999999999999886e+02 4.506000000000000227e+01 0.000000000000000000e+00
4.812699999999999818e+02 2.867000000000000171e+01 0.000000000000000000e+00
4.813399999999999750e+02 -1.740800000000000125e+02 0.000000000000000000e+00
4.814100000000000250e+02 -2.662000000000000099e+01 0.000000000000000000e+00
4.814700000000000273e+02 -5.325000000000000000e+01 0.000000000000000000e+00
4.815400000000000205e+02 3.685999999999999943e+01 0.000000000000000000e+00
4.816100000000000136e+02 2.048000000000000043e+01 0.000000000000000000e+00
4.816800000000000068e+02 -2.867000000000000171e+01 0.000000000000000000e+00
4.817400000000000091e+02 1.535999999999999943e+02 0.000000000000000000e+00
4.818100000000000023e+02 6.349000000000000199e+01 0.000000000000000000e+00
4.818799999999999955e+02 -2.457999999999999829e+01 0.000000000000000000e+00
4.819499999999999886e+02 2.049999999999999822e+00 0.000000000000000000e+00
4.820199999999999818e+02 -1.146899999999999977e+02 0.000000000000000000e+00
4.820799999999999841e+02 5.734000000000000341e+01 0.000000000000000000e+00
4.821499999999999773e+02 6.349000000000000199e+01 0.000000000000000000e+00
4.822200000000000273e+02 9.625000000000000000e+01 0.000000000000000000e+00
4.822900000000000205e+02 -2.049999999999999822e+00 0.000000000000000000e+00
4.823500000000000227e+02 1.044500000000000028e+02 0.000000000000000000e+00
4.824200000000000159e+02 6.143999999999999773e+01 0.000000000000000000e+00
4.824900000000000091e+02 -1.105900000000000034e+02 0.000000000000000000e+00
4.825600000000000023e+02 3.482000000000000028e+01 0.000000000000000000e+00
4.826299999999999955e+02 -5.120000000000000284e+01 0.000000000000000000e+00
4.826899999999999977e+02 4.914999999999999858e+01 0.000000000000000000e+00
4.827599999999999909e+02 -6.757999999999999829e+01 0.000000000000000000e+00
4.828299999999999841e+02 6.554000000000000625e+01 0.000000000000000000e+00
4.828999999999999773e+02 -3.071999999999999886e+01 0.000000000000000000e+00
4.829599999999999795e+02 1.024000000000000021e+01 0.000000000000000000e+00
4.830299999999999727e+02 -2.048000000000000043e+01 0.000000000000000000e+00
4.831000000000000227e+02 -4.099999999999999645e+00 0.000000000000000000e+00
4.831700000000000159e+02 -5.734000000000000341e+01 0.000000000000000000e+00
4.832400000000000091e+02 -7.373000000000000398e+01 0.000000000000000000e+00
4.833000000000000114e+02 2.662000000000000099e+01 0.000000000000000000e+00
4.833700000000000045e+02 2.867000000000000171e+01 0.000000000000000000e+00
4.834399999999999977e+02 2.253000000000000114e+01 0.000000000000000000e+00
4.835099999999999909e+02 -5.325000000000000000e+01 0.000000000000000000e+00
4.835699999999999932e+02 5.529999999999999716e+01 0.000000000000000000e+00
4.836399999999999864e+02 -1.085400000000000063e+02 0.000000000000000000e+00
4.837099999999999795e+02 7.576999999999999602e+01 0.000000000000000000e+00
4.837799999999999727e+02 -2.049999999999999822e+00 0.000000000000000000e+00
4.838399999999999750e+02 -2.253000000000000114e+01 0.000000000000000000e+00
4.839100000000000250e+02 1.228999999999999915e+01 0.000000000000000000e+00
4.839800000000000182e+02 9.010999999999999943e+01 0.000000000000000000e+00
4.840500000000000114e+02 -1.064899999999999949e+02 0.000000000000000000e+00
4.841100000000000136e+02 -4.300999999999999801e+01 0.000000000000000000e+00
4.841800000000000068e+02 9.010999999999999943e+01 0.000000000000000000e+00
4.842500000000000000e+02 7.781999999999999318e+01 0.000000000000000000e+00
4.843199999999999932e+02 -7.168000000000000682e+01 0.000000000000000000e+00
4.843799999999999955e+02 -2.049999999999999822e+00 0.000000000000000000e+00
4.844499999999999886e+02 2.662000000000000099e+01 0.000000000000000000e+00
4.845199999999999818e+02 2.049999999999999822e+00 0.000000000000000000e+00
4.845899999999999750e+02 2.662000000000000099e+01 0.000000000000000000e+00
4.846499999999999773e+02 -6.962999999999999545e+01 0.000000000000000000e+00
4.847200000000000273e+02 -5.325000000000000000e+01 0.000000000000000000e+00
4.847900000000000205e+02 -1.146899999999999977e+02 0.000000000000000000e+00
4.848600000000000136e+02 -2.662000000000000099e+01 0.000000000000000000e+00
4.849200000000000159e+02 3.685999999999999943e+01 0.000000000000000000e+00
4.849900000000000091e+02 1.228999999999999915e+01 0.000000000000000000e+00
4.850600000000000023e+02 -4.099999999999999645e+00 0.000000000000000000e+00
4.851299999999999955e+02 6.143999999999999773e+01 0.000000000000000000e+00
4.851899999999999977e+02 -1.228999999999999915e+01 0.000000000000000000e+00
4.852599999999999909e+02 -3.890999999999999659e+01 0.000000000000000000e+00
4.853299999999999841e+02 -2.049999999999999822e+00 0.000000000000000000e+00
4.853999999999999773e+02 2.049999999999999822e+00 0.000000000000000000e+00
4.854599999999999795e+02 2.049999999999999822e+00 0.000000000000000000e+00
4.855299999999999727e+02 -5.939000000000000057e+01 0.000000000000000000e+00
4.856000000000000227e+02 1.637999999999999901e+01 0.000000000000000000e+00
4.856700000000000159e+02 -4.099999999999999645e+00 0.000000000000000000e+00
4.857300000000000182e+02 2.662000000000000099e+01 0.000000000000000000e+00
4.858000000000000114e+02 1.637999999999999901e+01 0.000000000000000000e+00
4.858700000000000045e+02 1.146899999999999977e+02 0.000000000000000000e+00
4.859399999999999977e+02 8.189999999999999503e+00 0.000000000000000000e+00
4.860000000000000000e+02 -1.228799999999999955e+02 0.000000000000000000e+00
4.860699999999999932e+02 4.300999999999999801e+01 0.000000000000000000e+00
4.861399999999999864e+02 8.601000000000000512e+01 0.000000000000000000e+00
4.861999999999999886e+02 3.685999999999999943e+01 0.000000000000000000e+00
4.862699999999999818e+02 1.433999999999999986e+01 0.000000000000000000e+00
4.863399999999999750e+02 3.685999999999999943e+01 0.000000000000000000e+00
4.864100000000000250e+02 5.939000000000000057e+01 0.000000000000000000e+00
4.864700000000000273e+02 4.710000000000000142e+01 0.000000000000000000e+00
4.865400000000000205e+02 1.842999999999999972e+01 0.000000000000000000e+00
4.866100000000000136e+02 4.300999999999999801e+01 0.000000000000000000e+00
4.866800000000000068e+02 -3.890999999999999659e+01 0.000000000000000000e+00
4.867400000000000091e+02 3.277000000000000313e+01 0.000000000000000000e+00
4.868100000000000023e+02 -2.049999999999999822e+00 0.000000000000000000e+00
4.868799999999999955e+02 6.139999999999999680e+00 0.000000000000000000e+00
4.869399999999999977e+02 -8.806000000000000227e+01 0.000000000000000000e+00
4.870099999999999909e+02 -5.120000000000000284e+01 0.000000000000000000e+00
4.870799999999999841e+02 -3.277000000000000313e+01 0.000000000000000000e+00
4.871499999999999773e+02 7.987000000000000455e+01 0.000000000000000000e+00
4.872099999999999795e+02 7.781999999999999318e+01 0.000000000000000000e+00
4.872799999999999727e+02 4.096000000000000085e+01 0.000000000000000000e+00
4.873500000000000227e+02 -3.482000000000000028e+01 0.000000000000000000e+00
4.874100000000000250e+02 2.049999999999999822e+00 0.000000000000000000e+00
4.874800000000000182e+02 -1.842999999999999972e+01 0.000000000000000000e+00
4.875500000000000114e+02 4.506000000000000227e+01 0.000000000000000000e+00
4.876200000000000045e+02 6.553000000000000114e+01 0.000000000000000000e+00
4.876800000000000068e+02 -6.139999999999999680e+00 0.000000000000000000e+00
4.877500000000000000e+02 -7.781999999999999318e+01 0.000000000000000000e+00
4.878199999999999932e+02 7.373000000000000398e+01 0.000000000000000000e+00
4.878799999999999955e+02 4.506000000000000227e+01 0.000000000000000000e+00
4.879499999999999886e+02 -2.867000000000000171e+01 0.000000000000000000e+00
4.880199999999999818e+02 -2.662000000000000099e+01 0.000000000000000000e+00
4.880899999999999750e+02 2.048000000000000043e+01 0.000000000000000000e+00
4.881499999999999773e+02 8.601000000000000512e+01 0.000000000000000000e+00
4.882200000000000273e+02 -2.253000000000000114e+01 0.000000000000000000e+00
4.882900000000000205e+02 4.914999999999999858e+01 0.000000000000000000e+00
4.883500000000000227e+02 -8.189999999999999503e+00 0.000000000000000000e+00
4.884200000000000159e+02 2.048000000000000043e+01 0.000000000000000000e+00
4.884900000000000091e+02 6.143999999999999773e+01 0.000000000000000000e+00
4.885600000000000023e+02 -3.277000000000000313e+01 0.000000000000000000e+00
4.886200000000000045e+02 -3.685999999999999943e+01 0.000000000000000000e+00
4.886899999999999977e+02 1.454099999999999966e+02 0.000000000000000000e+00
4.887599999999999909e+02 1.842999999999999972e+01 0.000000000000000000e+00
4.888199999999999932e+02 -4.096000000000000085e+01 0.000000000000000000e+00
4.888899999999999864e+02 4.099999999999999645e+00 0.000000000000000000e+00
4.889599999999999795e+02 6.554000000000000625e+01 0.000000000000000000e+00
4.890199999999999818e+02 -7.576999999999999602e+01 0.000000000000000000e+00
4.890899999999999750e+02 3.890999999999999659e+01 0.000000000000000000e+00
4.891600000000000250e+02 7.987000000000000455e+01 0.000000000000000000e+00
4.892200000000000273e+02 -2.253000000000000114e+01 0.000000000000000000e+00
4.892900000000000205e+02 -6.139999999999999680e+00 0.000000000000000000e+00
4.893600000000000136e+02 2.662000000000000099e+01 5.582941798006085949e-321
4.894300000000000068e+02 -7.781999999999999318e+01 2.256898787121855991e-317
4.894900000000000091e+02 7.987000000000000455e+01 3.200430849534434859e-314
4.895600000000000023e+02 1.064899999999999949e+02 1.453453176941999778e-310
4.896299999999999955e+02 4.300999999999999801e+01 6.285564479777352345e-307
4.896899999999999977e+02 5.734000000000000341e+01 7.905954182530935472e-304
4.897599999999999909e+02 8.192000000000000171e+01 3.122010813425543934e-300
4.898299999999999841e+02 4.096000000000000085e+01 1.173991992647517795e-296
4.898899999999999864e+02 -5.529999999999999716e+01 1.309893083322261750e-293
4.899599999999999795e+02 -3.482000000000000028e+01 4.497834280819881552e-290
4.900299999999999727e+02 -1.637999999999999901e+01 1.470691808158130061e-286
4.900899999999999750e+02 4.914999999999999858e+01 1.455637027930717341e-283
4.901600000000000250e+02 2.048000000000000043e+01 4.346184785176870095e-280
4.902300000000000182e+02 2.457999999999999829e+01 1.235702432983836999e-276
4.902900000000000205e+02 3.277000000000000313e+01 1.084940770796250815e-273
4.903600000000000136e+02 3.277000000000000313e+01 2.816752016149808025e-270
4.904300000000000068e+02 3.890999999999999659e+01 6.963728328232251728e-267
4.905000000000000000e+02 -6.139999999999999680e+00 1.639402707370177753e-263
4.905600000000000023e+02 -5.120000000000000284e+01 1.224403973528588835e-260
4.906299999999999955e+02 -8.189999999999999503e+00 2.632118440341686242e-257
4.906999999999999886e+02 -9.420999999999999375e+01 5.388113646053733301e-254
4.907599999999999909e+02 2.049999999999999822e+00 3.569739596531600020e-251
4.908299999999999841e+02 9.829999999999999716e+01 6.672748025941092530e-248
4.908999999999999773e+02 7.781999999999999318e+01 1.187745890219174624e-244
4.909599999999999795e+02 -2.049999999999999822e+00 6.980459835933843259e-242
4.910299999999999727e+02 -1.842999999999999972e+01 1.134591989231703344e-238
4.911000000000000227e+02 -4.096000000000000085e+01 1.756086948709522425e-235
4.911600000000000250e+02 8.189999999999999503e+00 9.155186977533415131e-233
4.912300000000000182e+02 -5.529999999999999716e+01 1.293928831871616848e-229
4.913000000000000114e+02 -2.867000000000000171e+01 1.741422629847492561e-226
4.913600000000000136e+02 2.253000000000000114e+01 8.053526534479188220e-224
4.914300000000000068e+02 -1.024000000000000021e+01 9.897300514394703781e-221
4.915000000000000000e+02 -4.506000000000000227e+01 1.158238620982688754e-217
4.915600000000000023e+02 3.482000000000000028e+01 4.751608594827964194e-215
4.916299999999999955e+02 1.024000000000000021e+01 5.077603840461254766e-212
4.916999999999999886e+02 1.679300000000000068e+02 5.166870661970444686e-209
4.917599999999999909e+02 9.829999999999999716e+01 1.880316314875515168e-206
4.918299999999999841e+02 1.720300000000000011e+02 1.747175617288723209e-203
4.918999999999999773e+02 1.495000000000000000e+02 1.545940690168626043e-200
4.919599999999999795e+02 1.556500000000000057e+02 4.990647078372734105e-198
4.920299999999999727e+02 1.228799999999999955e+02 4.032273638033478626e-195
4.921000000000000227e+02 1.372100000000000080e+02 3.102371170073141141e-192
4.921600000000000250e+02 1.884099999999999966e+02 8.884203415143251358e-190
4.922300000000000182e+02 1.024000000000000057e+02 6.241645839954176478e-187
4.923000000000000114e+02 1.024000000000000021e+01 4.175710420470529905e-184
4.923600000000000136e+02 3.277000000000000313e+01 1.060756784297625268e-181
4.924300000000000068e+02 1.228799999999999955e+02 6.480133279960386234e-179
4.925000000000000000e+02 1.024000000000000021e+01 3.769664333310421797e-176
4.925600000000000023e+02 1.372100000000000080e+02 8.494715380216955056e-174
4.926299999999999955e+02 5.120000000000000284e+01 4.512367305173454539e-171
4.926999999999999886e+02 2.068400000000000034e+02 2.282499428584473795e-168
4.927599999999999909e+02 2.253000000000000114e+01 4.562653999254919521e-166
4.928299999999999841e+02 -5.734000000000000341e+01 2.107466302360490922e-163
4.928899999999999864e+02 1.024000000000000021e+01 3.897103654447753924e-161
4.929599999999999795e+02 -8.189999999999999503e+00 1.643697632873794990e-158
4.930299999999999727e+02 2.048000000000000043e+01 6.601650434848719268e-156
4.930899999999999750e+02 -1.637999999999999901e+01 1.082915448421811891e-153
4.931600000000000250e+02 4.506000000000000227e+01 3.971568094361530065e-151
4.932300000000000182e+02 -1.842999999999999972e+01 1.387011618529254429e-148
4.932900000000000205e+02 2.049999999999999822e+00 2.018286572914241982e-146
4.933600000000000136e+02 1.637999999999999901e+01 6.436322343766567407e-144
4.934300000000000068e+02 1.842999999999999972e+01 1.954534603214545845e-141
4.934900000000000091e+02 -3.071999999999999886e+01 2.522939303762329405e-139
4.935600000000000023e+02 3.071999999999999886e+01 6.995991114779047568e-137
4.936299999999999955e+02 5.325000000000000000e+01 1.847320790408245004e-134
4.936899999999999977e+02 -7.373000000000000398e+01 2.115273184175622064e-132
4.937599999999999909e+02 -4.099999999999999645e+00 5.100307984082850715e-130
4.938199999999999932e+02 7.168000000000000682e+01 5.402502882146587194e-128
4.938899999999999864e+02 -3.071999999999999886e+01 1.189492792394872019e-125
4.939599999999999795e+02 5.939000000000000057e+01 2.493901201142443052e-123
4.940199999999999818e+02 -8.601000000000000512e+01 2.343357540478677326e-121
4.940899999999999750e+02 -8.189999999999999503e+00 4.486346940455781400e-119
4.941600000000000250e+02 4.099999999999999645e+00 8.178954206681749195e-117
4.942200000000000273e+02 -4.710000000000000142e+01 6.817384608646953616e-115
4.942900000000000205e+02 9.010999999999999943e+01 1.134905200772676137e-112
4.943600000000000136e+02 -2.048000000000000043e+01 1.799086309014843427e-110
4.944200000000000159e+02 -7.373000000000000398e+01 1.330248337112632142e-108
4.944900000000000091e+02 -1.187800000000000011e+02 1.925581951019000741e-106
4.945500000000000114e+02 8.192000000000000171e+01 1.317095276166164391e-104
4.946200000000000045e+02 -3.685999999999999943e+01 1.740938154385552731e-102
4.946899999999999977e+02 1.146899999999999977e+02 2.191291310869493655e-100
4.947500000000000000e+02 -4.710000000000000142e+01 1.329584700827380441e-98
4.948199999999999932e+02 3.482000000000000028e+01 1.528162899790940137e-96
4.948899999999999864e+02 -8.189999999999999503e+00 1.672530000307820195e-94
4.949499999999999886e+02 2.457999999999999829e+01 9.002238525915294945e-93
4.950199999999999818e+02 8.806000000000000227e+01 8.996874243264436686e-91
4.950799999999999841e+02 1.842999999999999972e+01 4.479635823172111481e-89
4.951499999999999773e+02 8.601000000000000512e+01 4.088092486950580345e-87
4.952200000000000273e+02 1.290200000000000102e+02 3.552624757623130841e-85
4.952799999999999727e+02 3.277000000000000313e+01 1.569137869926973373e-83
4.953500000000000227e+02 -4.096000000000000085e+01 1.245164122941706341e-81
4.954200000000000159e+02 2.867000000000000171e+01 9.408983690526070283e-80
4.954800000000000182e+02 6.349000000000000199e+01 3.686508066729407151e-78
4.955500000000000114e+02 1.515500000000000114e+02 2.543713382925112188e-76
4.956100000000000136e+02 -4.506000000000000227e+01 9.219664280987773079e-75
4.956800000000000068e+02 4.914999999999999858e+01 5.809047972203955321e-73
4.957500000000000000e+02 -2.049999999999999822e+00 3.485342328698631066e-71
4.958100000000000023e+02 -2.253000000000000114e+01 1.120606352285392347e-69
4.958799999999999955e+02 -1.679300000000000068e+02 6.139463576297022103e-68
4.959399999999999977e+02 5.734000000000000341e+01 1.826049415234589835e-66
4.960099999999999909e+02 4.096000000000000085e+01 9.135382636021151567e-65
4.960799999999999841e+02 -3.071999999999999886e+01 4.352027000474915949e-63
4.961399999999999864e+02 -1.433999999999999986e+01 1.148244534215419464e-61
4.962099999999999795e+02 -3.277000000000000313e+01 4.995006926750898639e-60
4.962799999999999727e+02 -7.987000000000000455e+01 2.069133083964132850e-58
4.963399999999999750e+02 2.457999999999999829e+01 4.842748747131485322e-57
4.964100000000000250e+02 -3.277000000000000313e+01 1.831813000343633605e-55
4.964700000000000273e+02 3.685999999999999943e+01 3.966058437579438945e-54
4.965400000000000205e+02 -1.024000000000000057e+02 1.369888367499306162e-52
4.966100000000000136e+02 -1.105900000000000034e+02 4.505695815678123756e-51
4.966700000000000159e+02 0.000000000000000000e+00 8.653674343823731136e-50
4.967400000000000091e+02 1.208299999999999983e+02 2.599046849520983702e-48
4.968000000000000114e+02 0.000000000000000000e+00 4.617716289852342005e-47
4.968700000000000045e+02 2.048000000000000043e+01 1.266419754273532744e-45
4.969399999999999977e+02 -1.024000000000000057e+02 3.307339120779277617e-44
4.970000000000000000e+02 1.064899999999999949e+02 5.212578080404397226e-43
4.970699999999999932e+02 -2.049999999999999822e+00 1.243055428614915189e-41
4.971299999999999955e+02 2.457999999999999829e+01 1.812336343104879054e-40
4.971999999999999886e+02 9.625000000000000000e+01 3.946513475436533376e-39
4.972699999999999818e+02 5.734000000000000341e+01 8.183498413841490397e-38
4.973299999999999841e+02 2.049999999999999822e+00 1.058395572634650347e-36
4.973999999999999773e+02 -4.506000000000000227e+01 2.004058046240577131e-35
4.974599999999999795e+02 1.269699999999999989e+02 2.397694062699690659e-34
4.975299999999999727e+02 4.099999999999999645e+00 4.145652726197728108e-33
4.976000000000000227e+02 -4.506000000000000227e+01 6.825629214180363025e-32
4.976600000000000250e+02 4.914999999999999858e+01 7.244140601320214720e-31
4.977300000000000182e+02 1.085400000000000063e+02 1.089114433861230517e-29
4.977900000000000205e+02 4.506000000000000227e+01 1.069281742655368658e-28
4.978600000000000136e+02 -6.143999999999999773e+01 1.467964874089075984e-27
4.979300000000000068e+02 4.506000000000000227e+01 1.919065499982097030e-26
4.979900000000000091e+02 7.373000000000000398e+01 1.671356684944171112e-25
4.980600000000000023e+02 1.842999999999999972e+01 1.995171104323742900e-24
4.981200000000000045e+02 -1.167300000000000040e+02 1.607436962842368015e-23
4.981899999999999977e+02 4.710000000000000142e+01 1.752192526773350185e-22
4.982500000000000000e+02 1.556500000000000057e+02 1.305900498000742507e-21
4.983199999999999932e+02 7.576999999999999602e+01 1.299854763224702594e-20
4.983899999999999864e+02 -2.253000000000000114e+01 1.232055280501281298e-19
4.984499999999999886e+02 -1.842999999999999972e+01 8.145526579129935474e-19
4.985199999999999818e+02 2.662000000000000099e+01 7.050037044723475902e-18
4.985799999999999841e+02 2.049999999999999822e+00 4.311762481717603192e-17
4.986499999999999773e+02 -6.139999999999999680e+00 3.407720230554194055e-16
4.987200000000000273e+02 -8.396999999999999886e+01 2.564623738506314720e-15
4.987799999999999727e+02 8.396999999999999886e+01 1.391386531113177625e-14
4.988500000000000227e+02 2.457999999999999829e+01 9.561904232821894235e-14
4.989100000000000250e+02 4.300999999999999801e+01 4.798914212499512501e-13
4.989800000000000182e+02 -1.269699999999999989e+02 3.011455503317886062e-12
4.990400000000000205e+02 2.662000000000000099e+01 1.398136284407467560e-11
4.991100000000000136e+02 4.914999999999999858e+01 8.011610742714829926e-11
4.991800000000000068e+02 8.189999999999999503e+00 4.371603809877562788e-10
4.992400000000000091e+02 -1.290200000000000102e+02 1.800423027154849756e-09
4.993100000000000023e+02 4.300999999999999801e+01 8.970824982761638946e-09
4.993700000000000045e+02 7.168000000000000682e+01 3.417752474708098543e-08
4.994399999999999977e+02 1.433999999999999986e+01 1.555017571402388812e-07
4.995000000000000000e+02 4.300999999999999801e+01 5.480472248226314923e-07
4.995699999999999932e+02 -6.139999999999999680e+00 2.276929305381571469e-06
4.996399999999999864e+02 -5.120000000000000284e+01 9.008069589874230222e-06
4.996999999999999886e+02 -4.099999999999999645e+00 2.816275399594408602e-05
4.997699999999999818e+02 6.553000000000000114e+01 1.017405724359485216e-04
4.998299999999999841e+02 -3.890999999999999659e+01 2.942469875836833037e-04
4.998999999999999773e+02 -3.890999999999999659e+01 9.706618257851469100e-04
4.999599999999999795e+02 8.396999999999999886e+01 2.596930087451805244e-03
5.000299999999999727e+02 9.215999999999999659e+01 7.822634736248246581e-03
5.000899999999999750e+02 1.024000000000000021e+01 1.936064490745038891e-02
5.001600000000000250e+02 -1.228999999999999915e+01 5.325366269488790438e-02
5.002300000000000182e+02 -8.189999999999999503e+00 1.394857264673802222e-01
5.002900000000000205e+02 -4.099999999999999645e+00 3.062367048997218788e-01
5.003600000000000136e+02 -1.024000000000000021e+01 7.324439533163128457e-01
5.004200000000000159e+02 7.373000000000000398e+01 1.487566303129632672e+00
5.004900000000000091e+02 -6.554000000000000625e+01 3.248855206575933074e+00
5.005500000000000114e+02 1.044500000000000028e+02 6.103890721716102696e+00
5.006200000000000045e+02 -1.433999999999999986e+01 1.217300060437906239e+01
5.006800000000000068e+02 -4.300999999999999801e+01 2.115672770473903697e+01
5.007500000000000000e+02 7.781999999999999318e+01 3.852798176876108016e+01
5.008199999999999932e+02 3.277000000000000313e+01 6.681202653310072037e+01
5.008799999999999955e+02 5.734000000000000341e+01 1.030068733342776852e+02
5.009499999999999886e+02 1.044500000000000028e+02 1.631103273867020391e+02
5.010099999999999909e+02 1.556500000000000057e+02 2.326309417489475493e+02
5.010799999999999841e+02 3.563500000000000227e+02 3.363718182927743214e+02
5.011399999999999864e+02 4.566999999999999886e+02 4.437926259786855212e+02
5.012099999999999795e+02 4.300699999999999932e+02 5.859614907095560739e+02
5.012699999999999818e+02 8.191900000000000546e+02 7.151613139216402715e+02
5.013399999999999750e+02 8.785800000000000409e+02 8.622433954470567414e+02
5.014100000000000250e+02 1.081329999999999927e+03 9.899342750423215875e+02
5.014700000000000273e+02 9.789299999999999500e+02 1.071771012232995417e+03
5.015400000000000205e+02 1.372140000000000100e+03 1.123609392617908043e+03
5.016000000000000227e+02 1.122289999999999964e+03 1.125344430275212972e+03
5.016700000000000159e+02 9.932599999999999909e+02 1.077297592993048283e+03
5.017300000000000182e+02 8.458099999999999454e+02 9.981142450190155841e+02
5.018000000000000114e+02 8.355700000000000500e+02 8.725038399092534291e+02
5.018600000000000136e+02 5.734299999999999500e+02 7.478015669282897306e+02
5.019300000000000068e+02 6.901699999999999591e+02 5.969120323949431395e+02
5.019900000000000091e+02 5.898200000000000500e+02 4.732643778046617626e+02
5.020600000000000023e+02 4.915099999999999909e+02 3.449567509523941453e+02
5.021200000000000045e+02 2.744300000000000068e+02 2.530070317483041720e+02
5.021899999999999977e+02 1.024000000000000057e+02 1.683954267905159270e+02
5.022599999999999909e+02 1.372100000000000080e+02 1.067280602490735220e+02
5.023199999999999932e+02 1.249300000000000068e+02 6.943960889816382576e+01
5.023899999999999864e+02 5.120000000000000284e+01 4.018763590193299251e+01
