t   ch2 ch3 fit
-5.035999999999999588e+00 4.000000000000000222e-01 -3.200000000000000000e+01 4.310284944904079680e-99
-5.025999999999998913e+00 0.000000000000000000e+00 -3.360000000000000142e+01 9.998935700390302522e-103
-5.016000000000000014e+00 0.000000000000000000e+00 -3.200000000000000000e+01 1.995696324088342632e-106
-5.006000000000000227e+00 4.000000000000000222e-01 -3.439999999999999858e+01 3.427109863313079374e-110
-4.995999999999999552e+00 4.000000000000000222e-01 -3.439999999999999858e+01 5.063542786640029106e-114
-4.985999999999998877e+00 0.000000000000000000e+00 -3.360000000000000142e+01 6.436856525320577138e-118
-4.975999999999999091e+00 4.000000000000000222e-01 -3.360000000000000142e+01 7.040217260241057166e-122
-4.966000000000000192e+00 0.000000000000000000e+00 -3.439999999999999858e+01 6.625080839929285883e-126
-4.955999999999999517e+00 0.000000000000000000e+00 -3.360000000000000142e+01 5.364005197309409667e-130
-4.945999999999998842e+00 4.000000000000000222e-01 -3.520000000000000284e+01 3.736629909201104482e-134
-4.935999999999999055e+00 4.000000000000000222e-01 -3.439999999999999858e+01 2.239566018207751697e-138
-4.926000000000000156e+00 0.000000000000000000e+00 -3.520000000000000284e+01 1.154889785736398919e-142
-4.915999999999999481e+00 4.000000000000000222e-01 -3.520000000000000284e+01 5.124011539928174375e-147
-4.905999999999999694e+00 0.000000000000000000e+00 -3.439999999999999858e+01 1.956016643036024527e-151
-4.895999999999999019e+00 4.000000000000000222e-01 -3.439999999999999858e+01 6.424330571625768812e-156
-4.886000000000000121e+00 0.000000000000000000e+00 -3.679999999999999716e+01 1.815415762659689590e-160
-4.875999999999999446e+00 0.000000000000000000e+00 -3.679999999999999716e+01 4.413846357501151190e-165
-4.865999999999999659e+00 4.000000000000000222e-01 -3.600000000000000000e+01 9.233178019676236761e-170
-4.855999999999998984e+00 4.000000000000000222e-01 -3.679999999999999716e+01 1.661797472587544218e-174
-4.845999999999999197e+00 0.000000000000000000e+00 -3.600000000000000000e+01 2.573344125144734616e-179
-4.836000000000000298e+00 4.000000000000000222e-01 -3.600000000000000000e+01 3.428550316360039835e-184
-4.825999999999999623e+00 0.000000000000000000e+00 -3.760000000000000142e+01 3.930212889560548309e-189
-4.815999999999998948e+00 4.000000000000000222e-01 -3.760000000000000142e+01 3.876274386957070564e-194
-4.805999999999999162e+00 0.000000000000000000e+00 -3.679999999999999716e+01 3.289317799708144248e-199
-4.796000000000000263e+00 0.000000000000000000e+00 -3.760000000000000142e+01 2.401541226858731583e-204
-4.785999999999999588e+00 4.000000000000000222e-01 -3.679999999999999716e+01 1.508575830866805579e-209
-4.775999999999998913e+00 4.000000000000000222e-01 -3.679999999999999716e+01 8.153369647372174324e-215
-4.765999999999999126e+00 0.000000000000000000e+00 -3.920000000000000284e+01 3.791403500524981490e-220
-4.756000000000000227e+00 0.000000000000000000e+00 -3.920000000000000284e+01 1.516895869929953788e-225
-4.745999999999999552e+00 4.000000000000000222e-01 -3.839999999999999858e+01 5.221609847574974392e-231
-4.735999999999999766e+00 4.000000000000000222e-01 -3.839999999999999858e+01 1.546485870092069142e-236
-4.725999999999999091e+00 0.000000000000000000e+00 -3.920000000000000284e+01 3.940763586812063305e-242
-4.715999999999999304e+00 4.000000000000000222e-01 -3.839999999999999858e+01 8.639879681356740471e-248
-4.705999999999999517e+00 0.000000000000000000e+00 -4.000000000000000000e+01 1.629775914139528749e-253
-4.695999999999999730e+00 4.000000000000000222e-01 -4.000000000000000000e+01 2.645093227998959184e-259
-4.685999999999999055e+00 0.000000000000000000e+00 -3.920000000000000284e+01 3.693575320604280661e-265
-4.675999999999999268e+00 4.000000000000000222e-01 -4.000000000000000000e+01 4.437576198934870948e-271
-4.666000000000000369e+00 0.000000000000000000e+00 -3.920000000000000284e+01 4.587093314831801168e-277
-4.655999999999999694e+00 4.000000000000000222e-01 -3.920000000000000284e+01 4.079643503415465883e-283
-4.645999999999999019e+00 0.000000000000000000e+00 -4.160000000000000142e+01 3.121761650356802158e-289
-4.635999999999999233e+00 4.000000000000000222e-01 -4.160000000000000142e+01 2.055276023196776139e-295
-4.626000000000000334e+00 0.000000000000000000e+00 -4.000000000000000000e+01 1.164215717366233940e-301
-4.615999999999999659e+00 4.000000000000000222e-01 -4.160000000000000142e+01 5.674004137813365545e-308
-4.605999999999998984e+00 0.000000000000000000e+00 -4.079999999999999716e+01 2.379242591577443992e-314
-4.595999999999999197e+00 0.000000000000000000e+00 -4.079999999999999716e+01 8.567098298887215076e-321
-4.585999999999999410e+00 4.000000000000000222e-01 -4.239999999999999858e+01 0.000000000000000000e+00
-4.575999999999999623e+00 4.000000000000000222e-01 -4.239999999999999858e+01 0.000000000000000000e+00
-4.565999999999999837e+00 0.000000000000000000e+00 -4.160000000000000142e+01 0.000000000000000000e+00
-4.555999999999999162e+00 4.000000000000000222e-01 -4.239999999999999858e+01 0.000000000000000000e+00
-4.545999999999999375e+00 0.000000000000000000e+00 -4.160000000000000142e+01 0.000000000000000000e+00
-4.535999999999999588e+00 4.000000000000000222e-01 -4.160000000000000142e+01 0.000000000000000000e+00
-4.525999999999999801e+00 0.000000000000000000e+00 -4.400000000000000000e+01 0.000000000000000000e+00
-4.515999999999999126e+00 4.000000000000000222e-01 -4.320000000000000284e+01 0.000000000000000000e+00
-4.505999999999999339e+00 0.000000000000000000e+00 -4.400000000000000000e+01 0.000000000000000000e+00
-4.496000000000000441e+00 0.000000000000000000e+00 -4.400000000000000000e+01 0.000000000000000000e+00
-4.485999999999999766e+00 4.000000000000000222e-01 -4.320000000000000284e+01 0.000000000000000000e+00
-4.475999999999999091e+00 0.000000000000000000e+00 -4.320000000000000284e+01 0.000000000000000000e+00
-4.465999999999999304e+00 4.000000000000000222e-01 -4.479999999999999716e+01 0.000000000000000000e+00
-4.455999999999999517e+00 0.000000000000000000e+00 -4.479999999999999716e+01 0.000000000000000000e+00
-4.445999999999999730e+00 4.000000000000000222e-01 -4.400000000000000000e+01 0.000000000000000000e+00
-4.435999999999999055e+00 0.000000000000000000e+00 -4.479999999999999716e+01 0.000000000000000000e+00
